customer_id,name,city
1,John Nowak,Warsaw
2,John Smith,warsaw
3,Jan Kowalski,gdansk
4,Anna Zielinski,Warsaw
5,Maria Wozniak,Warsaw
6,Anna Nowak,warsaw
7,Jan Zielinski,Gdansk
8,Anna Zielinski,warsaw
9,John Zielinski,krakow
10,Jan Wozniak,Gdansk
11,Piotr Nowak,Poznan
12,Marek Kowalski,gdansk
13,Kasia Smith,Krakow
14,Jan Kowalski,Poznan
15,Piotr Nowak,Warsaw
16,Kasia Nowak,Krakow
17,Marek Smith,Gdansk
18,Piotr Nowak,gdansk
19,Kasia Zielinski,Warsaw
20,Kasia Nowak,Gdansk
21,Piotr Zielinski,Poznan
22,Piotr Zielinski,warsaw
23,John Nowak,Warsaw
24,John Kowalski,Poznan
25,Piotr Nowak,Poznan
26,Jan Nowak,krakow
27,Piotr Wozniak,gdansk
28,Marek Smith,warsaw
29,Piotr Smith,warsaw
30,John Smith,gdansk
31,John Nowak,Gdansk
32,John Kowalski,Gdansk
33,John Kowalski,warsaw
34,Kasia Wozniak,Krakow
35,John Zielinski,warsaw
36,John Smith,Poznan
37,Marek Nowak,warsaw
38,Marek Nowak,Poznan
39,Piotr Wozniak,Krakow
40,Anna Kowalski,Gdansk
41,John Smith,warsaw
42,John Wozniak,krakow
43,John Wozniak,warsaw
44,Piotr Kowalski,warsaw
45,John Zielinski,Gdansk
46,Piotr Zielinski,krakow
47,Maria Wozniak,Krakow
48,Jan Kowalski,Gdansk
49,Kasia Nowak,Poznan
50,Anna Nowak,warsaw
51,John Kowalski,Poznan
52,John Wozniak,Gdansk
53,Anna Wozniak,krakow
54,Maria Wozniak,Gdansk
55,Piotr Zielinski,Poznan
56,Anna Nowak,gdansk
57,Maria Smith,Poznan
58,John Smith,Warsaw
59,Piotr Wozniak,warsaw
60,Kasia Nowak,gdansk
61,John Smith,Gdansk
62,Marek Kowalski,Gdansk
63,Anna Smith,Poznan
64,John Zielinski,Gdansk
65,Jan Kowalski,Krakow
66,Marek Kowalski,Gdansk
67,Marek Zielinski,Warsaw
68,Maria Smith,krakow
69,Anna Nowak,Krakow
70,Marek Smith,warsaw
71,Anna Kowalski,Gdansk
72,Anna Nowak,gdansk
73,Kasia Nowak,Poznan
74,Maria Kowalski,warsaw
75,John Wozniak,Gdansk
76,Jan Smith,Gdansk
77,Marek Zielinski,krakow
78,Jan Zielinski,Poznan
79,John Kowalski,gdansk
80,Piotr Wozniak,gdansk
81,John Smith,krakow
82,Maria Wozniak,Warsaw
83,Jan Kowalski,Warsaw
84,Piotr Nowak,Gdansk
85,Maria Kowalski,Gdansk
86,Jan Nowak,Warsaw
87,John Nowak,warsaw
88,Anna Nowak,Poznan
89,Piotr Nowak,Gdansk
90,Jan Smith,gdansk
